,0,1,2,3,4,5
107,151.0,168.0,165.0,197.0,549.0,899.0
108,153.0,169.0,174.0,202.0,559.0,883.0
109,156.0,164.0,156.0,200.0,523.0,906.0
110,157.0,157.0,176.0,208.0,532.0,917.0
111,156.0,160.0,161.0,199.0,518.0,927.0
112,159.0,167.0,153.0,205.0,539.0,837.0
113,147.0,163.0,160.0,205.0,522.0,912.0
114,160.0,163.0,161.0,199.0,506.0,913.0
115,148.0,167.0,160.0,200.0,497.0,904.0
116,151.0,166.0,161.0,199.0,497.0,947.0
117,148.0,165.0,168.0,205.0,503.0,924.0
118,153.0,173.0,161.0,194.0,478.0,922.0
119,144.0,162.0,159.0,182.0,470.0,951.0
120,152.0,159.0,161.0,197.0,466.0,898.0
121,148.0,155.0,161.0,191.0,485.0,917.0
122,146.0,163.0,164.0,194.0,463.0,916.0
123,145.0,160.0,164.0,202.0,440.0,870.0
124,150.0,157.0,168.0,196.0,457.0,919.0
125,157.0,158.0,148.0,194.0,465.0,927.0
126,144.0,164.0,160.0,196.0,449.0,920.0
127,145.0,155.0,157.0,197.0,436.0,904.0
128,151.0,159.0,161.0,188.0,440.0,902.0
129,151.0,160.0,164.0,191.0,408.0,898.0
130,148.0,161.0,160.0,193.0,426.0,907.0
131,153.0,163.0,158.0,188.0,437.0,929.0
132,152.0,152.0,167.0,205.0,412.0,882.0
133,157.0,160.0,160.0,190.0,423.0,906.0
134,148.0,166.0,161.0,190.0,406.0,907.0
135,148.0,164.0,160.0,193.0,411.0,916.0
136,160.0,158.0,167.0,193.0,413.0,888.0
137,148.0,159.0,163.0,192.0,379.0,885.0
138,153.0,157.0,159.0,197.0,409.0,903.0
139,151.0,159.0,161.0,190.0,374.0,925.0
140,149.0,159.0,161.0,197.0,384.0,897.0
141,148.0,164.0,161.0,190.0,398.0,923.0
142,150.0,153.0,162.0,187.0,402.0,918.0
143,152.0,164.0,162.0,189.0,370.0,935.0
144,147.0,157.0,161.0,185.0,378.0,946.0
145,150.0,156.0,161.0,182.0,385.0,921.0
146,151.0,158.0,158.0,184.0,368.0,942.0
147,154.0,155.0,160.0,186.0,382.0,920.0
148,145.0,153.0,161.0,191.0,368.0,882.0
149,149.0,153.0,162.0,189.0,372.0,892.0
150,142.0,162.0,159.0,197.0,377.0,910.0
151,148.0,164.0,165.0,192.0,378.0,922.0
152,144.0,154.0,163.0,193.0,365.0,926.0
153,153.0,154.0,161.0,194.0,353.0,877.0
154,148.0,159.0,164.0,186.0,368.0,925.0
155,147.0,156.0,157.0,195.0,347.0,907.0
156,150.0,157.0,161.0,195.0,337.0,903.0
157,148.0,158.0,161.0,184.0,344.0,885.0
158,148.0,157.0,155.0,186.0,344.0,920.0
159,147.0,157.0,156.0,198.0,362.0,908.0
160,149.0,152.0,161.0,192.0,353.0,953.0
161,153.0,156.0,156.0,196.0,328.0,930.0
162,149.0,160.0,155.0,188.0,338.0,899.0
163,148.0,153.0,155.0,185.0,329.0,871.0
164,145.0,156.0,160.0,192.0,342.0,901.0
165,155.0,150.0,159.0,196.0,322.0,885.0
166,151.0,156.0,154.0,194.0,334.0,889.0
167,152.0,156.0,162.0,190.0,336.0,913.0
168,153.0,156.0,153.0,184.0,325.0,937.0
169,149.0,152.0,156.0,193.0,324.0,902.0
170,145.0,150.0,157.0,185.0,330.0,925.0
171,149.0,145.0,156.0,186.0,317.0,875.0
172,145.0,158.0,159.0,187.0,320.0,916.0
173,144.0,155.0,163.0,192.0,328.0,917.0
174,148.0,158.0,157.0,182.0,317.0,899.0
175,155.0,159.0,158.0,187.0,320.0,885.0
176,151.0,153.0,151.0,186.0,318.0,915.0
177,142.0,153.0,155.0,197.0,313.0,927.0
178,144.0,152.0,158.0,195.0,305.0,923.0
179,148.0,159.0,152.0,192.0,319.0,837.0
180,146.0,149.0,153.0,182.0,334.0,949.0
181,153.0,158.0,153.0,186.0,318.0,871.0
182,141.0,158.0,151.0,183.0,314.0,918.0
183,147.0,156.0,158.0,190.0,315.0,880.0
184,141.0,155.0,153.0,184.0,315.0,928.0
185,142.0,153.0,152.0,184.0,290.0,897.0
186,149.0,157.0,158.0,185.0,317.0,849.0
187,145.0,157.0,156.0,186.0,310.0,887.0
188,147.0,153.0,150.0,184.0,305.0,915.0
189,139.0,156.0,156.0,179.0,307.0,854.0
190,151.0,156.0,153.0,185.0,296.0,896.0
191,142.0,157.0,156.0,178.0,322.0,932.0
192,147.0,154.0,149.0,183.0,312.0,946.0
193,150.0,149.0,150.0,186.0,300.0,938.0
194,149.0,149.0,157.0,178.0,293.0,940.0
195,152.0,153.0,154.0,190.0,293.0,899.0
196,145.0,154.0,155.0,188.0,298.0,931.0
197,140.0,164.0,152.0,182.0,294.0,934.0
198,145.0,154.0,152.0,191.0,304.0,912.0
199,146.0,153.0,155.0,190.0,292.0,914.0
200,144.0,154.0,153.0,181.0,289.0,888.0
201,142.0,157.0,150.0,189.0,300.0,922.0
202,,151.0,150.0,189.0,297.0,897.0
203,,152.0,156.0,183.0,311.0,891.0
204,,154.0,156.0,186.0,293.0,881.0
205,,160.0,151.0,187.0,294.0,907.0
206,,152.0,150.0,181.0,303.0,921.0
207,,154.0,153.0,179.0,299.0,899.0
208,,152.0,151.0,182.0,303.0,893.0
209,,152.0,153.0,185.0,289.0,910.0
210,,151.0,159.0,193.0,307.0,942.0
211,,146.0,156.0,180.0,302.0,919.0
212,,156.0,153.0,173.0,292.0,872.0
213,,157.0,160.0,184.0,302.0,884.0
214,,151.0,162.0,181.0,286.0,928.0
215,,153.0,150.0,184.0,305.0,903.0
216,,153.0,157.0,177.0,306.0,881.0
217,,151.0,151.0,181.0,304.0,934.0
218,,151.0,147.0,188.0,299.0,896.0
219,,153.0,151.0,181.0,302.0,936.0
220,,157.0,154.0,183.0,315.0,895.0
221,,153.0,151.0,176.0,284.0,918.0
222,,151.0,152.0,180.0,309.0,895.0
223,,143.0,153.0,180.0,292.0,913.0
224,,155.0,148.0,185.0,301.0,904.0
225,,155.0,154.0,183.0,297.0,968.0
226,,151.0,148.0,195.0,293.0,933.0
227,,150.0,151.0,183.0,294.0,908.0
228,,146.0,155.0,188.0,295.0,904.0
229,,143.0,151.0,171.0,286.0,901.0
230,,151.0,150.0,181.0,285.0,873.0
231,,156.0,155.0,184.0,292.0,881.0
232,,145.0,153.0,188.0,293.0,929.0
233,,151.0,151.0,192.0,298.0,935.0
234,,152.0,152.0,191.0,284.0,911.0
235,,144.0,151.0,192.0,287.0,890.0
236,,148.0,150.0,176.0,298.0,926.0
237,,152.0,153.0,185.0,299.0,881.0
238,,149.0,152.0,183.0,299.0,949.0
239,,149.0,151.0,180.0,288.0,865.0
240,,148.0,146.0,184.0,294.0,922.0
241,,150.0,153.0,183.0,294.0,882.0
242,,155.0,156.0,180.0,285.0,925.0
243,,151.0,149.0,185.0,293.0,955.0
244,,153.0,154.0,185.0,295.0,920.0
245,,154.0,154.0,176.0,292.0,901.0
246,,152.0,155.0,183.0,292.0,919.0
247,,152.0,151.0,174.0,286.0,909.0
248,,153.0,154.0,173.0,277.0,896.0
249,,155.0,150.0,177.0,271.0,917.0
250,,145.0,153.0,179.0,282.0,899.0
251,,151.0,155.0,178.0,285.0,899.0
252,,156.0,154.0,178.0,290.0,938.0
253,,152.0,148.0,175.0,279.0,881.0
254,,153.0,156.0,175.0,289.0,913.0
255,,151.0,157.0,180.0,289.0,911.0
256,,155.0,149.0,180.0,284.0,922.0
257,,153.0,147.0,184.0,294.0,909.0
