,0,1,2,3,4,5,6
1930,14,14,15,34,35,99,83
1940,13,15,15,38,43,100,89
1950,14,17,18,33,43,100,87
1960,13,16,13,40,44,100,85
1970,14,16,14,38,46,100,87
1980,13,17,16,31,42,99,84
1990,13,15,16,36,38,100,89
2000,15,16,16,42,39,100,88
2010,14,17,13,34,42,100,88
2020,,15,16,37,39,100,85
2030,,15,13,38,37,100,88
2040,,16,14,37,39,100,87
2050,,14,14,35,41,99,90
2060,,14,15,32,46,100,89
2070,,14,17,35,39,100,87
2080,,16,14,38,38,100,87
2090,,17,14,32,42,99,88
2100,,16,16,34,39,99,85
2110,,15,13,38,36,100,89
2120,,16,14,36,37,100,88
2130,,17,16,33,43,100,87
2140,,16,15,40,36,100,88
2150,,15,16,38,38,100,89
2160,,16,15,36,35,100,88
2170,,16,16,33,37,100,88
2180,,16,15,39,36,100,91
2190,,15,15,35,36,100,88
2200,,15,17,35,36,100,91
2210,,16,17,34,38,100,88
2220,,15,15,35,37,99,88
2230,,15,16,36,36,100,87
2240,,16,16,35,35,100,89
2250,,13,16,36,29,100,89
2260,,14,17,34,34,100,87
2270,,14,15,36,35,99,87
2280,,16,14,32,29,100,90
2290,,14,14,36,34,100,88
2300,,14,15,36,35,100,89
2310,,15,15,33,31,100,87
2320,,15,16,35,33,99,88
2330,,15,17,35,35,99,88
2340,,15,16,34,32,100,87
2350,,16,16,37,33,100,92
2360,,15,15,37,28,99,88
2370,,13,16,40,37,100,88
2380,,14,15,37,33,100,88
2390,,16,17,36,40,100,90
2400,,15,16,33,32,100,86
2410,,15,15,39,30,99,89
2420,,16,14,39,31,100,87
2430,,15,15,32,27,100,89
2440,,15,15,39,32,99,89
2450,,15,14,36,33,100,88
2460,,14,16,37,27,100,87
2470,,14,16,32,28,100,87
2480,,15,14,34,34,100,89
2490,,14,15,31,31,100,91
2500,,14,15,38,28,100,87
2510,,14,14,37,28,100,90
2520,,15,16,34,30,100,89
2530,,14,15,41,34,98,88
2540,,15,15,37,27,99,88
2550,,13,16,37,26,100,86
2560,,14,14,35,33,100,89
2570,,14,15,37,30,100,89
2580,,14,15,34,29,100,89
2590,,15,16,35,35,100,90
2600,,15,14,37,29,100,86
2610,,14,15,38,30,100,89
2620,,14,14,32,32,100,90
2630,,15,13,33,29,100,87
2640,,15,13,34,30,100,88
2650,,16,14,33,27,100,90
2660,,15,14,35,30,100,86
2670,,15,14,34,28,100,88
2680,,14,14,35,30,99,87
2690,,15,14,31,31,99,85
2700,,15,13,36,28,100,87
2710,,15,14,34,35,100,87
2720,,14,15,35,27,100,84
2730,,14,14,35,32,100,86
2740,,16,15,35,31,100,86
2750,,15,15,33,33,100,88
2760,,15,15,34,23,100,88
2770,,15,15,35,28,100,87
2780,,15,15,36,27,100,88
2790,,16,16,36,27,99,86
2800,,14,14,31,26,100,86
2810,,14,14,36,26,100,86
2820,,14,14,33,25,100,85
2830,,15,15,34,28,99,86
2840,,16,14,32,28,100,89
2850,,16,14,34,29,100,87
2860,,16,14,39,25,100,89
2870,,15,16,34,23,100,84
2880,,16,15,41,28,100,87
2890,,15,15,32,26,100,84
2900,,14,15,35,26,100,88
2910,,15,14,33,22,100,88
2920,,15,15,36,31,99,89
2930,,15,16,35,26,97,86
2940,,15,14,33,28,100,86
2950,,17,16,38,23,100,88
2960,,15,15,35,25,100,87
2970,,14,14,33,26,100,87
2980,,16,15,30,25,99,86
2990,,15,16,33,23,100,87
3000,,15,15,34,24,100,86
3010,,16,15,37,26,100,86
3020,,14,15,36,24,100,84
3030,,16,15,38,24,100,87
3040,,14,18,33,27,99,88
3050,,14,16,38,26,98,87
3060,,15,16,37,25,99,87
3070,,15,16,34,27,100,88
3080,,16,18,36,26,100,89
3090,,15,17,35,21,100,85
3100,,17,14,32,24,100,88
3110,,15,17,36,23,100,87
3120,,14,16,35,20,100,89
3130,,18,16,32,21,100,86
3140,,16,16,37,24,100,88
3150,,15,15,32,24,100,86
