,group,0,1
348,9,1.42769444,-15.67489052
351,3,36.28691483,0.919068575
352,0,0.014299505,10.20628452
353,2,37.64672089,-14.16535187
354,1,-18.07751465,42.00110626
355,2,35.1241188,-22.39036942
356,2,28.78377724,-13.46689892
358,8,-30.02455711,6.757331848
359,6,-3.219009161,-17.89640617
360,3,13.74083519,-7.63062191
361,1,-11.64583492,24.19308281
362,9,19.25707626,-34.67735672
363,7,16.8279953,11.31820583
365,5,-9.3978405,-7.262081623
366,1,-18.04055214,23.92861938
367,3,32.5427475,-1.151955128
368,4,6.345567226,-18.83088112
369,6,-28.31244087,-24.7466774
370,9,16.84050179,-32.79819107
371,0,-4.243988991,10.80800247
372,0,4.454954624,16.77073479
373,4,1.002753615,8.787939072
374,5,-34.02898026,-2.467365742
375,4,3.611487865,-14.66185379
376,7,19.32716751,6.551019669
379,4,-12.50781536,-35.0458107
380,1,-5.954082966,23.78569031
382,1,-32.0673027,36.53403091
384,6,-10.02944946,-10.03770351
385,4,-12.28684044,-42.87665558
387,6,-0.966149747,-1.629976034
389,2,22.16646957,-15.58407116
390,3,2.799945831,5.930015564
391,4,-0.550343812,-27.55089378
392,3,44.27963257,6.258942604
393,1,-32.56143951,32.30586243
394,4,-0.936083019,-36.20343018
395,4,-2.482228041,-30.34883499
396,9,3.688609838,-17.93351555
397,2,29.94750023,-11.17365742
399,9,16.55149078,-31.98684502
400,1,-23.21119881,17.68035126
401,4,4.306767464,-36.55186844
402,7,26.80009079,18.44914627
403,0,-0.034160495,11.93167877
404,9,8.288872719,-16.50032806
405,1,-24.38176727,39.62650681
408,0,10.00632858,26.63294029
409,2,23.43906403,-8.606719971
410,1,-12.87594128,19.57333565
411,9,12.50035477,-9.231938362
412,4,-0.727817535,-42.20859146
413,3,27.29964447,1.762316346
414,8,-28.9486618,7.190393925
416,4,-10.26272774,-45.04054642
418,0,-2.348963022,28.45144081
419,8,-32.3992424,20.42469025
420,6,-19.85452271,-18.67475319
421,1,-28.19103622,37.61292648
423,9,-0.207593217,-18.07338524
424,6,-6.984513283,-6.501449585
425,1,-13.53689384,41.77352905
426,7,-1.088367462,4.5422225
427,1,-5.784025192,30.16160774
428,8,-45.84196472,7.075911045
430,8,-39.87857437,21.73944283
431,4,9.348132133,-20.31649017
432,2,16.23854256,-13.61753559
433,4,-8.270428658,-13.63062191
434,4,-9.314424515,-37.52812958
435,9,8.263346672,-29.19663811
436,6,-24.4932251,-24.94174004
437,1,-21.62791061,39.75464249
438,2,4.515304565,17.04968452
439,7,31.2597847,19.7041626
440,5,-27.75239563,-6.894068718
441,6,-14.60523701,-15.58676529
442,3,33.44279099,1.344386935
443,5,-29.38770676,-11.46833134
444,9,18.5165329,-29.19532013
445,3,43.45632935,11.269804
446,9,10.12150383,-39.91545868
448,9,13.31884575,-9.580368042
449,6,-24.36089516,-38.5044136
452,3,25.11974907,13.86738586
453,8,18.84381485,14.15209293
454,8,-27.44077682,6.377606392
459,7,11.00938797,20.76001549
461,3,38.81832886,-2.65696311
462,9,14.68334103,-30.78009987
463,1,-18.08847237,13.13133144
464,2,31.13803864,-20.90808678
465,6,-5.771913052,-8.890016556
466,0,3.324160337,13.92263699
467,7,1.335501909,2.666272402
468,8,-27.60286903,10.92956734
469,1,-21.05825806,34.07050705
470,4,7.781452656,-18.84100151
471,1,-19.03421402,19.44214821
473,2,22.8271637,-16.6599884
474,9,15.74950123,-15.5400877
475,7,28.02873802,26.86159515
476,7,31.31954193,24.61435318
477,4,-8.051166534,-27.99012756
478,8,-29.47880173,13.04479504
479,1,-6.607871056,30.44005203
480,9,21.49548149,-27.75806808
481,3,21.87617111,13.681283
487,7,30.91226578,34.45552063
488,7,34.68878174,25.9598999
489,9,9.864082336,-6.399040222
490,3,44.6987648,2.596063375
492,6,-17.7680645,-11.39717674
493,6,-0.314880222,-0.473891467
494,6,-22.55954361,-14.69357967
495,9,10.96089268,-28.41967964
497,5,-31.55557823,-10.17926311
498,1,-22.35051346,32.32668304
499,1,-4.182693005,23.58520126
500,1,-7.147446156,30.83410835
501,7,30.69997597,22.18365669
502,5,-45.00074768,-17.86375237
503,6,-11.79679394,-12.38529015
504,8,-38.83140564,18.13826561
506,8,-28.79286957,19.50693703
507,9,20.32175636,-32.19195175
508,8,-11.29096508,-2.829411745
510,1,-4.235343456,25.58327675
511,8,-35.83736801,8.165880203
512,7,13.5373764,26.10484695
513,1,-33.26692963,32.56241608
514,7,37.0146904,23.09583282
515,2,36.32180023,-15.15660191
516,9,-13.24901199,13.91808414
517,7,18.61645508,6.900444508
518,6,-35.95920181,-31.50497437
519,4,4.060050011,-25.15035439
520,2,30.40074158,-8.652411461
521,4,-4.692349434,-39.8552475
522,2,39.76467514,-12.0715704
523,6,-23.01298141,-23.13374138
524,9,8.320128441,-29.30478859
528,2,22.92504311,-8.48336792
529,2,28.15639687,-23.93017387
530,7,15.76760483,21.39357948
531,0,14.50794697,38.71450806
533,3,10.99660873,7.263725758
534,7,15.69880486,12.2675705
535,6,-21.3658638,-20.23224258
537,6,-22.09526443,-32.24710464
538,4,-1.224437833,-42.8057251
539,3,46.28167725,0.001920719
542,7,25.86526108,37.8388176
543,3,33.92893219,5.802067757
544,3,35.26676941,-2.397381306
545,5,-1.608307004,-8.10246563
546,4,-15.0483408,-41.17346954
547,0,-3.718656063,26.64875793
548,2,11.73115253,-4.77600193
549,2,37.88059616,-19.18989754
550,2,28.87752533,-23.41661644
551,8,-29.78824615,15.59561825
552,7,35.25863266,31.66206741
553,3,36.45490265,9.917123795
554,3,10.30962944,-1.233809233
555,3,40.08597565,4.281327248
556,0,-3.418876171,36.85713577
557,1,-16.13756752,15.37125111
558,2,44.4821434,-11.30817795
560,8,-27.70186996,16.09945297
561,0,10.89721107,24.0982132
562,0,13.71613789,34.29235458
563,1,-9.65709877,21.01118279
564,1,-23.56105232,36.28336334
565,6,-17.89392853,-19.03844833
566,0,7.803217411,30.1550808
567,2,13.76139641,-15.30575466
568,7,29.5038681,31.02668571
569,9,17.77285385,-13.98327065
570,5,-38.4079361,-16.56123161
571,1,-15.88099289,35.23090744
573,1,-17.74326324,20.49909973
574,6,-23.17526436,-20.7185955
575,6,-6.573823452,-5.462657928
576,4,-1.796874642,-37.36456299
577,0,-1.373611212,37.7327919
578,6,-29.05181503,-21.91760063
579,0,2.210884809,9.724632263
581,6,-27.36509323,-22.30320168
582,1,-9.750119209,18.96378136
584,8,-12.20555401,-1.031314373
585,6,2.366361856,-8.574202538
586,3,13.63728714,-3.742381811
588,8,-29.66413307,10.86348343
590,1,-22.01593781,28.59419632
591,4,-11.81073666,-18.48895264
592,2,29.69150734,-9.653130531
594,4,-4.802808285,-12.14457512
596,0,7.013689995,33.53839111
597,0,10.89868832,43.99051666
600,6,-19.98587418,-18.81728935
603,8,-24.43003654,2.544727325
604,8,-40.32928467,14.89483547
605,6,-15.42930317,-9.014753342
606,4,-9.427837372,-27.37860489
608,5,-27.34140968,-12.9009037
609,2,18.76294136,3.66295743
610,2,18.91577721,-0.133001864
611,7,13.12126732,25.49580002
612,0,14.60059929,38.29468155
613,2,30.94891739,-14.24071407
614,9,16.20965958,-16.27459145
615,1,-21.54658508,30.75983047
616,0,-0.043222036,35.74555588
617,6,-20.44945145,-25.71631622
618,1,-21.40484428,39.88861084
619,4,-8.324451447,-24.45912552
621,0,8.813390732,22.00058556
622,9,15.18272114,-8.893520355
623,9,2.311922073,-12.52336311
624,5,-34.60842514,-15.17240524
625,4,-9.395740509,-25.9155674
627,0,-2.256892443,11.02500534
628,4,-1.770789504,-43.91550827
630,6,-31.67583847,-22.46586609
631,4,5.479640007,-41.55554199
632,3,22.86191368,0.279220164
633,4,-5.404053211,-28.81812668
634,6,-8.833346367,-11.57727242
635,0,-8.026067734,35.89996338
636,2,23.26335335,-15.48160172
637,6,-19.51431465,-29.9780407
639,2,23.13768959,-14.1240015
640,2,-1.368065596,-4.348288059
641,3,23.54291916,6.185040474
642,3,39.35649109,2.858881712
644,3,29.86576462,13.12209702
646,7,18.68203735,27.11287498
647,3,32.8675499,1.347888708
650,5,-32.41875839,-18.78585815
651,1,-18.9653244,17.48073769
652,7,16.15006828,14.90740108
653,3,23.17383385,-3.935757637
655,0,9.256625175,42.64733124
656,8,-32.23645401,21.54683304
657,9,9.25807476,-8.605052948
659,6,-15.08999538,-24.83647728
661,2,-2.762680769,2.215037346
662,9,23.50198555,-37.98036194
663,0,14.5276823,39.12297821
664,7,17.42972946,7.066152096
665,2,23.46759224,-5.382908344
666,7,27.042202,24.99703598
668,0,2.935581684,25.13576508
669,0,-2.832668304,33.72705841
671,6,-0.348484159,-6.997037888
672,7,8.629387856,24.19946289
673,1,-14.33231449,15.09461403
674,2,10.96453381,-2.379992247
675,0,9.899319649,14.02721596
676,5,-6.145067215,1.236053109
677,9,1.018095493,-17.34645462
678,9,17.46491051,-21.1412487
679,8,-11.90565205,4.631518841
680,3,11.00031853,-0.678648055
681,3,26.03326797,5.333159447
683,8,-32.35651398,23.40290642
684,6,-28.45926476,-31.32804489
686,1,-10.34063339,21.74442101
687,8,-31.12129593,19.03230476
688,5,-43.55285263,-7.609081745
689,8,-13.02391243,-2.946579695
690,4,-4.662470818,-31.1737709
691,8,-23.78142357,17.48732376
692,1,-10.49071789,19.66057968
693,8,-11.34630775,7.752213478
694,1,-19.15942955,25.76083755
695,9,9.944965363,-23.22258949
696,4,-12.70851994,-30.6518364
697,5,-8.51744175,3.332033157
698,1,-6.029222488,23.6423111
700,5,-6.892196655,10.81609154
702,7,25.13615799,34.21009827
703,5,-26.80456161,-14.2139864
704,6,12.71045685,-0.062002212
705,1,-19.29724312,23.31572342
706,5,-1.73642683,-11.10673904
709,7,24.01332092,38.61904907
710,9,20.84741974,-39.1843071
711,1,-6.009356022,29.35501862
712,0,3.957562923,47.72870636
713,1,-8.514352798,18.69080544
714,7,36.72806168,31.53153419
715,8,-42.5912056,14.71662903
716,9,3.790436029,-11.61016846
717,8,-37.2818718,22.52292252
718,1,-16.6195488,8.645345688
719,8,-32.13428116,6.230757236
720,7,20.63888359,38.69105148
722,6,13.37210369,0.22584565
724,8,-28.3037529,9.630223274
727,4,-12.00198746,-44.0639801
728,1,-16.56248665,3.645144463
730,1,-11.1680336,35.13763809
731,4,-3.520969152,-32.6384964
732,0,-5.488493919,12.88603401
733,5,-35.31140137,-3.747084618
734,9,15.0224762,-24.89127731
735,4,-0.513899505,-33.83772278
737,6,-23.85887337,-38.48731995
738,1,-9.805148125,25.98616791
739,5,-35.15224457,-11.736413
740,0,1.279380441,13.99088383
741,6,-16.87363434,-22.67464638
742,6,1.751243591,1.13203156
744,7,11.02469158,19.06332016
746,1,-32.49736786,30.14151192
748,3,12.76985168,7.627467155
749,2,35.08558273,-9.030341148
750,0,3.961627007,37.11310959
751,5,-6.009674549,5.228694916
752,0,-4.027292252,29.61993217
753,0,13.57447147,41.66120911
754,4,-14.84911823,-36.69971848
755,3,24.79239464,6.616943836
757,1,-14.92229748,20.38057518
758,4,-6.371854782,-14.12071991
759,3,32.36086273,11.23106194
760,9,19.43917465,-37.92978668
761,6,-19.13348961,-13.05348969
762,5,-33.14356232,-3.778300285
763,7,30.85314369,32.05831146
766,2,27.53384209,-3.282467842
767,4,-6.254419327,-17.75437927
768,2,35.7754097,-6.466788769
769,1,-13.23220444,30.734375
770,8,3.033750296,4.732272625
772,2,36.30532837,-7.406390667
774,3,42.07675552,4.376869202
775,6,-15.10888577,-7.736874104
776,3,33.47117233,-2.5591259
777,4,1.097151875,-20.3364563
778,2,-1.48695159,-3.147828102
779,5,-42.85347366,0.12183886
780,9,19.26927948,-25.17721748
781,8,-9.697091103,-2.243510008
782,0,7.014987946,44.75827026
784,0,-1.490127325,42.86701584
785,3,39.2253418,-2.937338829
786,3,35.01311874,10.10951138
788,5,-16.98060417,8.151405334
790,1,-16.3804245,5.37342453
792,4,4.389286518,-38.08007431
793,1,-25.36763191,23.9658699
794,7,20.38371468,20.32859039
796,4,7.021667004,-44.38930511
797,2,15.69759274,-18.14389038
798,5,-34.07528687,-9.049490929
799,7,34.12221909,30.03513145
801,6,-24.79937553,-30.32950783
804,7,33.80284119,24.75618172
805,8,-23.28510094,9.322164536
807,7,19.47712135,8.609057426
808,2,29.02541542,-6.749668598
809,8,-29.42855263,21.01769447
810,9,6.900884628,-12.80838585
811,4,-6.768447876,-12.89412117
812,1,-3.562803745,-7.414177418
813,2,32.62178421,-9.079404831
814,4,-2.03630662,-22.30349922
815,4,-7.239573956,-46.63674164
817,6,-37.56694794,-31.21177292
818,3,9.532495499,2.043517113
821,4,2.942905188,-39.0521698
822,3,23.93439293,13.93986511
823,4,3.551241875,-14.21458912
824,0,1.188647151,25.04981041
826,9,19.43021584,-38.00888824
827,1,-11.26838398,21.84333992
828,3,37.81458664,5.218049526
829,0,0.346414268,21.07458115
830,9,17.22457886,-18.27714348
831,9,10.36939716,-23.00645447
832,4,2.631763458,-46.33602905
834,1,-16.66147232,32.29899597
835,2,35.77716827,-10.37917137
836,4,9.277739525,-20.75816154
838,7,17.77774239,23.78307343
839,9,16.65891266,-22.59482002
840,1,-28.57491302,35.79317856
841,4,8.397823334,-20.57246208
842,9,12.70239639,-25.98763657
844,3,36.26114273,16.96551323
845,8,-17.79807663,-3.704452515
847,8,-11.16269112,13.3263607
848,4,-1.670267701,-29.23666763
849,3,17.5571003,-6.879063129
850,1,-5.764602661,22.76825523
851,0,-0.082035854,24.40802574
852,2,30.4466114,-11.44438934
853,4,-17.26403809,-35.18527985
854,0,10.69354343,39.90361404
855,8,-21.15339851,14.66585159
856,0,13.77796936,38.57349777
857,8,-47.65395355,4.836181641
859,9,5.827095985,-29.32657623
860,1,9.073030472,-0.565728486
861,8,-12.52449322,3.017096758
862,7,22.01047134,30.59169388
864,4,4.043270111,-22.4550972
865,7,35.25197983,32.5368576
866,6,-3.922726154,-3.76218605
867,5,-40.1125679,-12.15777206
868,1,-15.68376064,6.065038204
869,1,-7.603973866,24.95178795
870,6,-22.03969765,-28.66765404
871,4,-1.877860785,-37.88846588
873,8,-23.19867897,16.91064835
874,6,1.913014531,-14.61189365
875,6,-31.46328735,-28.98838043
876,2,34.75944519,-22.08810806
878,2,29.94069862,-17.74049377
879,8,-20.30200958,4.678509235
880,9,5.443174362,-13.44245338
883,0,2.430807829,20.92154503
884,7,34.87458038,23.90617752
885,7,16.57489777,25.62124634
886,6,-27.78320885,-36.12070084
888,0,1.265420556,35.42724228
889,3,44.17734146,6.810897827
890,5,-32.37454224,-18.51432228
891,4,4.691660881,-31.6152935
892,4,-0.371676862,-41.53374481
894,2,33.77717209,-25.57594109
895,8,-36.88162613,11.65359497
896,9,1.92032814,-10.5365839
898,6,-22.92293549,-37.93450928
899,6,-19.74827766,-18.78482628
900,4,-7.227763176,-42.96397018
901,9,4.256840706,-16.13707733
904,5,-36.44947052,0.774733961
905,6,-25.47413826,-27.77980995
906,7,16.45953178,25.842062
907,1,-16.73848343,24.53144073
908,1,-18.27567101,41.76877594
909,2,42.7217598,-14.97048187
910,9,18.2849102,-42.43767929
911,6,-23.57182884,-37.98604202
912,4,-7.867230415,-17.90159798
913,0,-1.536977172,27.74343872
914,2,32.42486191,-6.562315941
915,5,-7.420503616,9.55414772
916,6,-4.926552296,-9.456542015
917,7,32.35978317,30.54148293
918,9,26.77009583,-42.28474045
919,0,0.951025605,11.97411251
921,9,9.349681854,-8.648117065
922,4,-10.24099636,-38.30722046
923,4,-2.102191448,-21.46289063
925,2,4.852762222,-6.506860256
926,7,20.41971397,39.30620193
927,2,20.26615906,-8.064011574
929,0,3.08728528,39.59429169
930,8,-11.85010242,10.51994038
932,5,-44.45982742,-17.1785984
933,1,-30.29247856,27.58665466
934,2,16.27266884,3.652105331
935,2,33.48227692,-21.50412941
936,7,9.977376938,18.01500893
937,8,-20.23204803,14.63528633
940,3,21.89824677,13.71209049
941,8,-21.99407196,14.29898548
942,2,27.00323868,-3.53629756
944,1,-22.36726761,26.02638626
945,6,-1.855995655,-15.49740887
946,6,-23.77499962,-33.85322952
947,4,-9.519942284,-19.08950615
948,6,-23.59501266,-19.99142838
953,9,9.676859856,-39.22198868
954,9,10.39069653,-14.48156071
955,5,-24.6608448,-11.15642929
956,9,15.11179352,-28.17206192
957,0,11.00955009,12.88118744
958,3,11.09337616,-0.692733884
959,9,20.4909153,-30.51183128
960,3,-5.231606007,2.762463331
961,2,33.11095047,-9.332891464
963,6,1.222943187,-15.68195057
964,1,-20.82697296,29.82450867
965,5,-19.85962296,0.362047136
966,2,30.10847473,-20.91083908
968,5,-7.035724163,11.61557579
969,9,21.17045975,-26.8325386
970,4,-0.741830647,-42.27528
971,5,-8.679346085,3.28049922
972,6,-19.94658852,-20.85100937
974,7,26.71730614,17.55610657
975,6,-12.5856123,-24.60170174
976,4,-16.88347816,-36.69548416
977,8,-29.29024887,13.01806831
979,2,21.85833168,-4.463250637
980,6,-33.39457321,-31.49783325
981,6,-18.95552826,-16.81552124
982,6,-24.25307465,-16.80090141
983,1,-23.0056591,32.79626846
984,6,-23.38154411,-20.15945053
985,2,40.69946671,-25.65147591
987,4,-12.22720718,-31.17427826
989,3,3.251964331,6.476616383
990,9,17.74215317,-35.5489502
991,4,6.379761219,-23.17116737
992,2,27.63039589,-15.40213394
994,0,7.912313461,40.30913925
996,2,33.97593689,-14.50230408
997,1,-22.24320984,25.95624733
998,2,34.92776108,-10.9074173
1000,3,42.96011353,3.909065723
1005,6,-22.42878914,-22.93810463
1006,1,-14.23890877,17.94618034
1007,9,10.86195469,-41.05459213
1008,2,25.5647049,-18.46439552
1009,1,-19.23928833,13.21175861
1010,2,-0.024246747,-5.933456898
1011,1,-16.45632362,28.03324127
1012,0,0.738298774,41.34929276
1013,0,4.383735657,39.1471138
1014,3,33.51784897,-1.248687148
1015,7,21.11304665,7.237967014
1016,1,-21.82592964,39.75855255
1017,4,3.491460085,-29.20940781
1018,8,-16.42019844,-3.316055298
1019,1,-5.167105675,28.50277138
1020,7,20.51938438,25.35484123
1021,8,-26.79704094,14.80976582
1022,8,-38.79379654,18.08097267
1023,3,44.36748505,10.07748127
1024,8,-30.84909058,14.21430969
1025,5,-23.164114,-11.80239868
1026,8,-41.16995621,15.22087574
1027,1,-14.871912,30.62470818
1028,5,-8.443170547,-16.267313
1029,5,-10.43874836,-16.83942223
1030,2,27.56962776,-23.11920929
1031,4,-12.06224251,-22.38059425
1032,0,0.027771546,9.915728569
1033,4,-5.513692379,-26.47738647
1034,4,8.160464287,-19.0052433
1036,2,4.676143646,12.89677429
1037,2,21.33881378,-10.47765923
1038,9,29.71005058,-34.71830368
1039,2,39.93981171,-7.262338638
