,0,1,2,3,4,5
107,15.0,15.0,14.0,38.0,67.0,99.0
108,14.0,17.0,15.0,41.0,72.0,100.0
109,15.0,18.0,16.0,38.0,67.0,100.0
110,14.0,17.0,18.0,38.0,67.0,100.0
111,13.0,14.0,14.0,37.0,65.0,100.0
112,16.0,16.0,15.0,37.0,63.0,99.0
113,14.0,14.0,15.0,36.0,63.0,100.0
114,13.0,15.0,14.0,37.0,61.0,100.0
115,13.0,17.0,15.0,39.0,61.0,100.0
116,13.0,15.0,15.0,39.0,62.0,99.0
117,14.0,18.0,15.0,43.0,59.0,100.0
118,14.0,16.0,15.0,43.0,54.0,100.0
119,14.0,17.0,16.0,40.0,59.0,100.0
120,14.0,14.0,16.0,42.0,63.0,99.0
121,14.0,16.0,17.0,40.0,61.0,100.0
122,13.0,15.0,16.0,39.0,60.0,100.0
123,14.0,16.0,16.0,38.0,61.0,99.0
124,14.0,16.0,17.0,37.0,60.0,100.0
125,15.0,15.0,15.0,39.0,58.0,100.0
126,14.0,17.0,15.0,32.0,56.0,100.0
127,14.0,16.0,17.0,37.0,62.0,100.0
128,14.0,17.0,15.0,34.0,62.0,100.0
129,13.0,15.0,15.0,35.0,55.0,99.0
130,14.0,15.0,16.0,37.0,57.0,100.0
131,16.0,15.0,16.0,36.0,54.0,100.0
132,13.0,16.0,16.0,39.0,58.0,100.0
133,14.0,16.0,16.0,36.0,67.0,100.0
134,14.0,17.0,16.0,36.0,63.0,100.0
135,14.0,16.0,16.0,35.0,56.0,100.0
136,13.0,15.0,14.0,38.0,54.0,100.0
137,13.0,15.0,15.0,38.0,60.0,99.0
138,14.0,14.0,17.0,33.0,55.0,100.0
139,15.0,15.0,18.0,35.0,56.0,99.0
140,13.0,16.0,14.0,38.0,52.0,99.0
141,14.0,17.0,15.0,39.0,55.0,100.0
142,13.0,16.0,15.0,36.0,55.0,100.0
143,14.0,16.0,16.0,36.0,53.0,100.0
144,13.0,14.0,14.0,36.0,49.0,100.0
145,14.0,13.0,15.0,36.0,58.0,99.0
146,15.0,14.0,14.0,34.0,56.0,100.0
147,14.0,16.0,15.0,39.0,49.0,99.0
148,14.0,16.0,15.0,38.0,53.0,100.0
149,14.0,14.0,15.0,37.0,47.0,100.0
150,13.0,14.0,17.0,38.0,47.0,100.0
151,13.0,17.0,17.0,37.0,54.0,100.0
152,14.0,16.0,15.0,41.0,56.0,100.0
153,16.0,15.0,14.0,34.0,53.0,100.0
154,13.0,15.0,16.0,36.0,48.0,100.0
155,13.0,16.0,15.0,34.0,45.0,100.0
156,13.0,16.0,15.0,36.0,53.0,100.0
157,14.0,15.0,16.0,38.0,53.0,99.0
158,14.0,15.0,14.0,34.0,54.0,100.0
159,16.0,14.0,16.0,40.0,50.0,100.0
160,15.0,15.0,15.0,37.0,51.0,99.0
161,14.0,15.0,14.0,33.0,54.0,100.0
162,14.0,15.0,14.0,39.0,49.0,100.0
163,13.0,15.0,14.0,37.0,51.0,100.0
164,13.0,16.0,15.0,32.0,43.0,100.0
165,15.0,15.0,15.0,32.0,51.0,100.0
166,15.0,16.0,16.0,34.0,47.0,100.0
167,13.0,14.0,17.0,41.0,48.0,100.0
168,15.0,15.0,15.0,38.0,42.0,99.0
169,14.0,16.0,14.0,35.0,45.0,100.0
