,0,0,0,0,0,0
0,65577216.91180048,43831928.0,42923748.0,29662582.0,60197380.0,61028152.0
1,71032368.34749135,44444556.0,43313908.0,30191030.0,61343452.0,62072636.0
2,71514766.88443054,44285228.0,44351656.0,28511486.0,62147196.0,61617520.0
3,71700910.38399963,46701200.0,40749712.0,30826912.0,57772608.0,65503960.0
4,73966486.77768001,44365044.0,44769792.0,29611774.0,63308000.0,61665844.0
5,70602428.30428945,45407620.0,44803364.0,30549706.0,63935508.0,63564156.0
6,69931379.40348886,43847920.0,43671736.0,28567444.0,62040700.0,61337380.0
7,71895356.61631504,46609116.0,42965320.0,30765878.0,61176040.0,65502428.0
8,71843436.7893031,45674968.0,42198408.0,30756322.0,59242256.0,64122816.0
9,72585005.37744771,47008212.0,42554888.0,31403450.0,60490328.0,65867700.0
10,66146506.31554525,45032892.0,42306612.0,30807226.0,60007996.0,63191728.0
11,67696520.18025833,43941456.0,43308040.0,29770656.0,62010448.0,61873688.0
12,74376268.80241452,43213596.0,41666924.0,28632132.0,58878724.0,60655116.0
13,69975257.34349082,44961072.0,42869004.0,30574170.0,61012200.0,63152284.0
14,71674539.6706854,44604144.0,45871004.0,29918902.0,65650496.0,62905084.0
15,65718344.26303428,46559352.0,42211344.0,31336380.0,59960988.0,65889424.0
16,68733306.68254487,42973504.0,41640656.0,28896618.0,59652588.0,60509364.0
17,72753056.69491063,44215388.0,40499168.0,29575890.0,57500004.0,62429904.0
18,69509860.27676268,44846184.0,41577832.0,30682796.0,59048020.0,63395404.0
19,73452014.42003085,42881464.0,43256404.0,29770914.0,62079556.0,60598304.0
20,70624916.7852187,45040148.0,42746252.0,30222596.0,61180928.0,63750792.0
21,70788621.87306738,42696996.0,42239756.0,27962248.0,60773448.0,60406404.0
22,70111303.64954753,44834736.0,43251768.0,30127312.0,61910648.0,63440420.0
23,72311842.12367216,44253568.0,41419056.0,29230570.0,59141604.0,62919084.0
24,70088605.20122032,41822092.0,42342204.0,27709572.0,60932420.0,59710096.0
25,72695332.86193396,43470956.0,42487692.0,30241200.0,61282080.0,61987796.0
26,66869442.2968022,42548124.0,43938928.0,28719916.0,63472440.0,60701076.0
27,65567510.62747187,43132584.0,43161424.0,29492442.0,62444556.0,61791336.0
28,67791770.09144959,43643308.0,41211208.0,29166186.0,59645156.0,62495420.0
29,68583496.94647022,44824132.0,42309580.0,30955260.0,61488596.0,64111876.0
30,72262146.06678537,42989468.0,41895336.0,29000050.0,61551232.0,61674736.0
31,70421874.32611385,42792396.0,42202676.0,29653374.0,61456068.0,61018184.0
32,67886717.78214441,42425768.0,40137128.0,29223226.0,57851428.0,60648948.0
33,71493202.39513497,42805776.0,40862056.0,29048502.0,59723412.0,61570932.0
34,69734172.85559763,45120532.0,42848364.0,31270558.0,62188612.0,65503488.0
35,74570278.02103306,43757408.0,41308556.0,29472034.0,60707040.0,63002720.0
36,69615647.10249785,42887452.0,39282320.0,28989818.0,57253840.0,61785904.0
37,73877084.17297497,42691848.0,43950780.0,28452708.0,64675296.0,61638004.0
38,71032643.64220479,45037168.0,41866628.0,31253076.0,61447196.0,64867380.0
39,71747479.09348834,43736512.0,42060316.0,29688122.0,61733196.0,63197376.0
40,67527020.3283256,43211712.0,42498980.0,29363344.0,61944920.0,62637144.0
41,66559700.17271148,42323432.0,43098192.0,28703406.0,63353768.0,60832012.0
42,67269039.51079673,45128836.0,43810032.0,31466120.0,64805584.0,65518128.0
43,70335508.11157367,45239496.0,41896232.0,31064040.0,61550872.0,65877584.0
44,67630257.5550158,43085424.0,42125624.0,29030832.0,62181788.0,62349080.0
45,66268138.01525354,42489396.0,42772812.0,28606566.0,62663116.0,61441616.0
46,68587524.50895873,42538300.0,41549764.0,29259102.0,61351196.0,61718196.0
47,68850197.66404845,42328620.0,40705488.0,28920284.0,60034356.0,61724480.0
48,71551443.43478546,41344532.0,39344296.0,28510152.0,58821464.0,60257224.0
49,65762323.99663297,43825544.0,39746564.0,29426250.0,58700352.0,63920356.0
50,70071520.37845711,43376216.0,40495816.0,29797724.0,59271384.0,63466188.0
51,65379383.57375709,42033340.0,41855716.0,28618436.0,62280352.0,61475784.0
52,71124013.51316562,40420828.0,39658960.0,26232006.0,58919728.0,59116740.0
53,70371626.96082269,40847324.0,40474508.0,27903226.0,59995080.0,59817168.0
54,65288524.08312611,42765140.0,41437828.0,28712364.0,61766280.0,62806948.0
55,68659751.32467727,44246388.0,40813448.0,30725488.0,60797820.0,65305584.0
56,67740274.36251044,42502564.0,39570340.0,28375796.0,59675464.0,62464804.0
57,69927280.96449195,44668668.0,40450220.0,30981666.0,60546788.0,66306400.0
58,70918426.34549621,43788056.0,41745460.0,30116498.0,62738588.0,64452648.0
59,69639924.33783856,43190032.0,41401832.0,30236760.0,62067236.0,63863212.0
60,70325112.18123774,41861240.0,39858084.0,28332386.0,59560316.0,61974016.0
61,67399596.58638574,40780032.0,40741716.0,27724952.0,61214056.0,60182624.0
